gen,s,a,tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
12,0.4,7,A1,3,0.46428571,0.16071429,0.08928571,0.28571429,0.46428571
13,0.4,7,B1,4,0.5,0.08035714,0.09821429,0.5,0.32142857
14,0.4,7,B1,4,0.67857143,0.05357143,0.0625,0.67857143,0.20535714
15,0.4,7,B1,4,0.63392857,0.08928571,0.13392857,0.63392857,0.14285714
16,0.4,7,B1,4,0.52678571,0.08035714,0.15178571,0.52678571,0.24107143
17,0.4,7,B1,3,0.42857143,0.08035714,0.10714286,0.42857143,0.38392857
18,0.4,7,A1,4,0.47321429,0.16964286,0.08035714,0.27678571,0.47321429
19,0.4,7,A1,4,0.55522487,0.18948413,0.06382275,0.19146825,0.55522487
20,0.4,7,A1,4,0.55522487,0.10019841,0.06382275,0.28075397,0.55522487
21,0.4,7,A1,4,0.50892857,0.09821429,0.04464286,0.34821429,0.50892857
22,0.4,7,B1,4,0.41964286,0.08035714,0.08928571,0.41964286,0.41071429
23,0.4,7,B1,4,0.55357143,0.0625,0.09821429,0.55357143,0.28571429
24,0.4,7,B1,4,0.61607143,0.0625,0.09821429,0.61607143,0.22321429
25,0.4,7,B1,4,0.63392857,0.08928571,0.125,0.63392857,0.15178571
26,0.4,7,B1,4,0.57142857,0.08035714,0.15178571,0.57142857,0.19642857
27,0.4,7,A1,4,0.41071429,0.03571429,0.15178571,0.40178571,0.41071429
28,0.4,7,A1,4,0.45535714,0.0625,0.15178571,0.33035714,0.45535714
29,0.4,7,A1,4,0.44642857,0.10714286,0.125,0.32142857,0.44642857
30,0.4,7,A1,4,0.55357143,0.11607143,0.05357143,0.27678571,0.55357143
31,0.4,7,A1,4,0.42857143,0.13392857,0.11607143,0.32142857,0.42857143
32,0.4,7,A1,4,0.40178571,0.14285714,0.14285714,0.3125,0.40178571
