model,setting,groupn,run,s,a,PARAM,loop.thresholds,n_lower,n_upper,n.extreme.shifts,ext.streak.median,ext.streak_3gen.n,ext.streak_5gen.n,ext.streak_10gen.n,ext.streak_3gen.median,ext.streak_5gen.median,ext.streak_10gen.median,outliers.n,ext.streak.median_no.outliers,ext.streak_3gen.n.noouts,ext.streak_5gen.n.noouts,ext.streak_10gen.n.noouts,ext.streak_3gen.n_Up.noouts,ext.streak_5gen.n_Up.noouts,ext.streak_10gen.n_Up.noouts,ext.streak_3gen.n_Lw.noouts,ext.streak_5gen.n_Lw.noouts,ext.streak_10gen.n_Lw.noouts,ext.streak_3gen.median.noouts,ext.streak_5gen.median.noouts,ext.streak_10gen.median.noouts
fd,fs,100,16,0,0,p,40_60,34,20,1,3,8,3,1,3.5,5,14,1,3,7,2,NA,3,1,NA,5,2,NA,3,5,NA
fd,fs,100,17,0,0,p,10_90,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,17,0,0,p,20_80,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,17,0,0,p,25_75,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,17,0,0,p,30_70,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,17,0,0,p,40_60,37,19,1,3,8,2,1,3.5,10.5,14,2,2.5,6,NA,NA,2,NA,NA,6,NA,NA,3,NA,NA
fd,fs,100,18,0,0,p,10_90,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,18,0,0,p,20_80,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,18,0,0,p,25_75,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,18,0,0,p,30_70,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,18,0,0,p,40_60,46,17,1,2.5,6,3,2,4.5,14,15,2,2,4,1,NA,1,1,NA,5,2,NA,3.5,5,NA
fd,fs,100,19,0,0,p,10_90,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,19,0,0,p,20_80,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,19,0,0,p,25_75,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,19,0,0,p,30_70,0,2,0,2,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,19,0,0,p,40_60,36,19,1,3.5,8,5,1,5,5,10,1,3,7,4,NA,2,2,NA,6,3,NA,5,5,NA
fd,fs,100,20,0,0,p,10_90,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,20,0,0,p,20_80,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,20,0,0,p,25_75,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,20,0,0,p,30_70,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,20,0,0,p,40_60,39,16,1,4,7,3,2,4,10,11.5,1,4,6,2,1,2,1,1,5,2,1,4,8.5,10
fd,fs,100,1,0,1,p,10_90,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,1,0,1,p,20_80,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,1,0,1,p,25_75,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,1,0,1,p,30_70,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,1,0,1,p,40_60,4,4,3,2.5,1,NA,NA,3,NA,NA,0,2.5,1,NA,NA,0,NA,NA,1,NA,NA,3,NA,NA
fd,fs,100,2,0,1,p,10_90,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,2,0,1,p,20_80,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,2,0,1,p,25_75,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,2,0,1,p,30_70,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,2,0,1,p,40_60,5,5,2,2,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd,fs,100,3,0,1,p,10_90,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
