model,setting,groupn,run,s,a,first.stable.gen,n.gens.stable,first.stable.gen.fuzzy,n.gens.stable.fuzzy
sc,x,100,19,0.05,2,100,0,100,0
sc,x,100,20,0.05,2,100,0,100,0
sc,x,100,1,0.05,3,94,6,94,6
sc,x,100,2,0.05,3,100,0,100,0
sc,x,100,3,0.05,3,100,0,100,0
sc,x,100,4,0.05,3,100,0,100,0
sc,x,100,5,0.05,3,87,13,87,13
sc,x,100,6,0.05,3,100,0,100,0
sc,x,100,7,0.05,3,96,4,96,4
sc,x,100,8,0.05,3,96,4,96,4
sc,x,100,9,0.05,3,100,0,100,0
sc,x,100,10,0.05,3,100,0,100,0
sc,x,100,11,0.05,3,78,22,78,22
sc,x,100,12,0.05,3,84,16,84,16
sc,x,100,13,0.05,3,83,17,83,17
sc,x,100,14,0.05,3,100,0,100,0
sc,x,100,15,0.05,3,98,2,98,2
sc,x,100,16,0.05,3,82,18,82,18
sc,x,100,17,0.05,3,100,0,100,0
sc,x,100,18,0.05,3,100,0,100,0
sc,x,100,19,0.05,3,81,19,81,19
sc,x,100,20,0.05,3,79,21,79,21
sc,x,100,1,0.05,4,100,0,100,0
sc,x,100,2,0.05,4,100,0,100,0
sc,x,100,3,0.05,4,74,26,74,26
sc,x,100,4,0.05,4,80,20,80,20
sc,x,100,5,0.05,4,77,23,77,23
sc,x,100,6,0.05,4,100,0,100,0
sc,x,100,7,0.05,4,95,5,95,5
sc,x,100,8,0.05,4,100,0,100,0
sc,x,100,9,0.05,4,85,15,85,15
sc,x,100,10,0.05,4,80,20,80,20
sc,x,100,11,0.05,4,81,19,81,19
